data,titulo,link
2024-04-23 17:00:00,Pauta da 13ª Sessão Ordinária de 2024,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/735#pesquisa
2024-04-16 17:00:00,Pauta da 12ª Sessão Ordinária de 2024,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/729#pesquisa
2024-04-09 17:00:00,Pauta da 11ª Sessão Ordinária de 2024,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/721#pesquisa
2024-04-05 11:40:00,Pauta da 1ª Sessão Extraordinária de 2024,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/722#pesquisa
2024-04-03 09:30:00,Pauta da 4ª Reunião Ordinária de Comissão de 2024 - (CFO),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/723#pesquisa
2024-04-02 17:00:00,Pauta da 10ª Sessão Ordinária de 2024,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/717#pesquisa
2024-03-26 17:00:00,Pauta da 9ª Sessão Ordinária de 2024,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/714#pesquisa
2024-03-19 17:00:00,Pauta da 8ª Sessão Ordinária de 2024,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/704#pesquisa
2024-03-12 17:00:00,Pauta da 7ª Sessão Ordinária de 2024,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/702#pesquisa
2024-03-05 17:00:00,Pauta da 6ª Sessão Ordinária de 2024,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/690#pesquisa
2024-02-29 17:00:00,Pauta da Audiência Pública do Secretaria de Saúde (3° quadrimestre/2023) de 2024,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/851#pesquisa
2024-02-27 17:00:00,Pauta da 5ª Sessão Ordinária de 2024,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/580#pesquisa
2024-02-24 18:00:00,Pauta da Audiência Pública do Secretaria de Finanças e Orçamento (3° quadrimestre/2023) de 2024,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/847#pesquisa
2024-02-20 17:00:00,Pauta da 4ª Sessão Ordinária de 2024,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/579#pesquisa
2024-02-15 14:00:00,Pauta da 3ª Sessão Ordinária de 2024,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/13#pesquisa
2024-02-06 17:00:00,Pauta da 2ª Sessão Ordinária do 1º Período de 2024,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/10#pesquisa
2024-01-30 17:00:00,Pauta da 1ª Sessão Ordinária do 1º Período de 2024,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/1#pesquisa
2023-12-18 09:40:00,Pauta da 45ª Sessão Ordinária de 2023,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/578#pesquisa
2023-12-13 10:00:00,Pauta da 13ª Reunião Ordinária de Comissão de 2023 - (CFO),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/593#pesquisa
2023-12-13 09:30:00,Pauta da 27ª Reunião Ordinária de Comissão de 2023 - (CSAS),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/684#pesquisa
2023-12-13 09:00:00,Pauta da 39ª Reunião Ordinária de Comissão de 2023 - (CLJR),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/632#pesquisa
2023-12-12 17:05:00,Pauta da 44ª Sessão Ordinária de 2023,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/577#pesquisa
2023-12-12 11:00:00,Pauta da 11ª Reunião Ordinária de Comissão de 2023 - (CECTE),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/657#pesquisa
2023-12-06 11:00:00,Pauta da 14ª Reunião Ordinária de Comissão de 2023 - (COSP),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/646#pesquisa
2023-12-06 09:00:00,Pauta da 38ª Reunião Ordinária de Comissão de 2023 - (CLJR),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/631#pesquisa
2023-12-05 17:10:00,Pauta da 43ª Sessão Ordinária de 2023,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/576#pesquisa
2023-11-29 09:00:00,Pauta da 37ª Reunião Ordinária de Comissão de 2023 - (CLJR),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/630#pesquisa
2023-11-28 09:00:00,Pauta da 42ª Sessão Ordinária de 2023,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/575#pesquisa
2023-11-22 10:30:00,Pauta da 13ª Reunião Ordinária de Comissão de 2023 - (COSP),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/645#pesquisa
2023-11-22 10:00:00,Pauta da 26ª Reunião Ordinária de Comissão de 2023 - (CSAS),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/683#pesquisa
2023-11-22 09:45:00,Pauta da 12ª Reunião Ordinária de Comissão de 2023 - (CFO),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/592#pesquisa
2023-11-22 09:00:00,Pauta da 36ª Reunião Ordinária de Comissão de 2023 - (CLJR),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/629#pesquisa
2023-11-21 17:10:00,Pauta da 41ª Sessão Ordinária de 2023,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/574#pesquisa
2023-11-14 17:05:00,Pauta da 40ª Sessão Ordinária de 2023,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/573#pesquisa
2023-11-08 09:00:00,Pauta da 35ª Reunião Ordinária de Comissão de 2023 - (CLJR),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/628#pesquisa
2023-11-07 17:10:00,Pauta da 39ª Sessão Ordinária de 2023,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/572#pesquisa
2023-10-31 17:10:00,Pauta da 38ª Sessão Ordinária de 2023,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/571#pesquisa
2023-10-30 08:30:00,Pauta da 10ª Reunião Ordinária de Comissão de 2023 - (CECTE),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/656#pesquisa
2023-10-26 09:00:00,Pauta da 1ª Reunião Ordinária de Comissão de 2023 - (CDHCSP),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/685#pesquisa
2023-10-26 08:30:00,Pauta da 12ª Reunião Ordinária de Comissão de 2023 - (COSP),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/644#pesquisa
2023-10-25 09:30:00,Pauta da 25ª Reunião Ordinária de Comissão de 2023 - (CSAS),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/682#pesquisa
2023-10-25 09:00:00,Pauta da 34ª Reunião Ordinária de Comissão de 2023 - (CLJR),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/627#pesquisa
2023-10-23 17:20:00,Pauta da 37ª Sessão Ordinária de 2023,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/570#pesquisa
2023-10-18 09:00:00,Pauta da 33ª Reunião Ordinária de Comissão de 2023 - (CLJR),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/626#pesquisa
2023-10-17 17:20:00,Pauta da 36ª Sessão Ordinária de 2023,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/569#pesquisa
2023-10-11 09:30:00,Pauta da 24ª Reunião Ordinária de Comissão de 2023 - (CSAS),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/681#pesquisa
2023-10-11 09:00:00,Pauta da 32ª Reunião Ordinária de Comissão de 2023 - (CLJR),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/625#pesquisa
2023-10-09 17:07:00,Pauta da 35ª Sessão Ordinária de 2023,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/568#pesquisa
2023-10-05 10:00:00,Pauta da 9ª Reunião Ordinária de Comissão de 2023 - (CECTE),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/655#pesquisa
2023-10-04 09:30:00,Pauta da 23ª Reunião Ordinária de Comissão de 2023 - (CSAS),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/680#pesquisa
2023-10-04 09:00:00,Pauta da 31ª Reunião Ordinária de Comissão de 2023 - (CLJR),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/624#pesquisa
2023-10-02 17:10:00,Pauta da 34ª Sessão Ordinária de 2023,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/567#pesquisa
2023-09-27 09:40:00,Pauta da 22ª Reunião Ordinária de Comissão de 2023 - (CSAS),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/679#pesquisa
2023-09-27 09:20:00,Pauta da 11ª Reunião Ordinária de Comissão de 2023 - (CFO),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/591#pesquisa
2023-09-27 09:00:00,Pauta da 30ª Reunião Ordinária de Comissão de 2023 - (CLJR),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/623#pesquisa
2023-09-26 17:10:00,Pauta da 33ª Sessão Ordinária de 2023,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/566#pesquisa
2023-09-20 11:00:00,Pauta da 21ª Reunião Ordinária de Comissão de 2023 - (CSAS),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/678#pesquisa
